                                     | Core 0     
  Instructions                       |  1000002823
  Cycles                             |   757319290
  IPC                                |        1.32
  Time (ns)                          |   284706500
  Idle time (ns)                     |         -66
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |     1222767
  num incorrect                      |          19
  misprediction rate                 |       0.00%
  mpki                               |        0.00
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   117912204
    num misses                       |           6
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   775030623
    num misses                       |    23031580
    miss rate                        |       2.97%
    mpki                             |       23.03
  L2 TLB                             |            
    num accesses                     |    23031586
    num misses                       |    19840071
    miss rate                        |      86.14%
    mpki                             |       19.84
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   117912204
    num cache misses                 |      229702
    miss rate                        |       0.19%
    mpki                             |        0.23
  Cache L1-D                         |            
    num cache accesses               |   775030623
    num cache misses                 |     7677577
    miss rate                        |       0.99%
    mpki                             |        7.68
  Cache L2                           |            
    num cache accesses               |     7907475
    num cache misses                 |     5375531
    miss rate                        |      67.98%
    mpki                             |        5.38
  Cache L3                           |            
    num cache accesses               |     5375728
    num cache misses                 |     3514342
    miss rate                        |      65.37%
    mpki                             |        3.51
DRAM summary                         |            
  num dram accesses                  |     5111196
  average dram access latency (ns)   |      256.93
  average dram queueing delay        |      203.51
  average dram bandwidth utilization |      15.00%
Coherency Traffic                    |            
  num loads from dram                |     2521034
  num loads from dram cache          |           0
  num loads from remote cache        |           0
