                                     | Core 0    
  Instructions                       |  890240148
  Cycles                             |  894349456
  IPC                                |       1.00
  Time (ns)                          |  336221600
  Idle time (ns)                     |        -56
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |    6391868
  num incorrect                      |         81
  misprediction rate                 |      0.00%
  mpki                               |       0.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   83606745
    num misses                       |          8
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  594087863
    num misses                       |    1224050
    miss rate                        |      0.21%
    mpki                             |       1.37
  L2 TLB                             |           
    num accesses                     |    1224058
    num misses                       |     494849
    miss rate                        |     40.43%
    mpki                             |       0.56
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   83606745
    num cache misses                 |      54060
    miss rate                        |      0.06%
    mpki                             |       0.06
  Cache L1-D                         |           
    num cache accesses               |  594087863
    num cache misses                 |    9370707
    miss rate                        |      1.58%
    mpki                             |      10.53
  Cache L2                           |           
    num cache accesses               |   13432379
    num cache misses                 |    8400931
    miss rate                        |     62.54%
    mpki                             |       9.44
  Cache L3                           |           
    num cache accesses               |   12408544
    num cache misses                 |    6805513
    miss rate                        |     54.85%
    mpki                             |       7.64
DRAM summary                         |           
  num dram accesses                  |   10735944
  average dram access latency (ns)   |      59.31
  average dram queueing delay        |       5.88
  average dram bandwidth utilization |     26.00%
Coherency Traffic                    |           
  num loads from dram                |    6805141
  num loads from dram cache          |          0
  num loads from remote cache        |          0
